"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","Command_UnlockAllFish","System.Void DolocAPI::Command_UnlockAllFish()","IL_0005","callvirt","DolocTown.Config.Tables","get_TbFish","DolocTown.Config.Fishing.TbFish DolocTown.Config.Tables::get_TbFish()"
"DolocAPI","Command_UnlockAllFish","System.Void DolocAPI::Command_UnlockAllFish()","IL_000A","callvirt","DolocTown.Config.Fishing.TbFish","get_DataList","System.Collections.Generic.List`1<DolocTown.Config.Fishing.FishInfo> DolocTown.Config.Fishing.TbFish::get_DataList()"
"DolocAPI","Command_UnlockAllFish","System.Void DolocAPI::Command_UnlockAllFish()","IL_000F","callvirt","System.Collections.Generic.List`1<DolocTown.Config.Fishing.FishInfo>","GetEnumerator","System.Collections.Generic.List`1/Enumerator<!0> System.Collections.Generic.List`1<DolocTown.Config.Fishing.FishInfo>::GetEnumerator()"
"DolocAPI","Command_UnlockAllFish","System.Void DolocAPI::Command_UnlockAllFish()","IL_0019","call","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Fishing.FishInfo>","get_Current","!0 System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Fishing.FishInfo>::get_Current()"
"DolocAPI","Command_UnlockAllFish","System.Void DolocAPI::Command_UnlockAllFish()","IL_002F","callvirt","DolocTown.Config.Fishing.FishInfo","get_Id","System.String DolocTown.Config.Fishing.FishInfo::get_Id()"
"DolocAPI","Command_UnlockAllFish","System.Void DolocAPI::Command_UnlockAllFish()","IL_0034","callvirt","DolocTown.ResourceManager","UnlockFish","System.Void DolocTown.ResourceManager::UnlockFish(System.String)"
"DolocAPI","Command_UnlockAllFish","System.Void DolocAPI::Command_UnlockAllFish()","IL_003B","call","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Fishing.FishInfo>","MoveNext","System.Boolean System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Fishing.FishInfo>::MoveNext()"
"DolocAPI/<>c","<RollFish>b__364_0","System.Boolean DolocAPI/<>c::<RollFish>b__364_0(DolocTown.Config.Fishing.FishInfo)","IL_0001","callvirt","DolocTown.Config.Fishing.FishInfo","get_IsGarbage","System.Boolean DolocTown.Config.Fishing.FishInfo::get_IsGarbage()"
"DolocAPI/<>c","<RollFish>b__364_2","System.Boolean DolocAPI/<>c::<RollFish>b__364_2(DolocTown.Config.Fishing.FishInfo)","IL_0001","callvirt","DolocTown.Config.Fishing.FishInfo","get_Id","System.String DolocTown.Config.Fishing.FishInfo::get_Id()"
"DolocAPI/<>c","<RollFish>b__364_2","System.Boolean DolocAPI/<>c::<RollFish>b__364_2(DolocTown.Config.Fishing.FishInfo)","IL_0006","call","DolocAPI","CheckFishUnlocked","System.Boolean DolocAPI::CheckFishUnlocked(System.String)"
