"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0187","call","DolocTown.VersionPatcher","LoadAllVersionPatchesBeyond","DolocTown.VersionPatch[] DolocTown.VersionPatcher::LoadAllVersionPatchesBeyond(System.String)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_01CD","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_01D2","callvirt","DolocTown.GameData.ArchiveDataHandle","get_baseDataOnLoad","DolocTown.BaseArchiveData DolocTown.GameData.ArchiveDataHandle::get_baseDataOnLoad()"
"DolocAPI","SaveGame","System.Boolean DolocAPI::SaveGame(System.Int32)","IL_001A","callvirt","DolocTown.GameData.DataPersistenceManager","SaveGame","System.Boolean DolocTown.GameData.DataPersistenceManager::SaveGame(System.Int32)"
"DolocAPI","SaveGame","System.Boolean DolocAPI::SaveGame(System.Int32)","IL_0026","callvirt","DolocTown.Config.Localization.TbStaticText","get_GameDataSaveFail","System.String DolocTown.Config.Localization.TbStaticText::get_GameDataSaveFail()"
"DolocAPI","SaveGame","System.Boolean DolocAPI::SaveGame(System.Int32)","IL_003D","callvirt","DolocTown.Config.Localization.TbStaticText","get_GameDataSaveSuccessful","System.String DolocTown.Config.Localization.TbStaticText::get_GameDataSaveSuccessful()"
"DolocAPI","DeleteGame","System.Void DolocAPI::DeleteGame(System.Int32)","IL_0006","callvirt","DolocTown.GameData.DataPersistenceManager","DeleteGame","System.Void DolocTown.GameData.DataPersistenceManager::DeleteGame(System.Int32)"
"DolocAPI","ReturnHome","System.Void DolocAPI::ReturnHome(System.Boolean)","IL_005C","callvirt","DolocTown.SceneManager","UnloadAll","System.Void DolocTown.SceneManager::UnloadAll()"
"DolocAPI","ReturnHome","System.Void DolocAPI::ReturnHome(System.Boolean)","IL_00AE","call","DolocAPI","ResetArchiveState","System.Void DolocAPI::ResetArchiveState()"
"DolocAPI","ReturnHome","System.Void DolocAPI::ReturnHome(System.Boolean)","IL_00B8","callvirt","DolocTown.GameData.DataPersistenceManager","UnloadGame","System.Void DolocTown.GameData.DataPersistenceManager::UnloadGame()"
"DolocAPI","ReturnHome","System.Void DolocAPI::ReturnHome(System.Boolean)","IL_00E6","call","DolocAPI","LoadGame","System.Boolean DolocAPI::LoadGame(System.Int32)"
"DolocAPI","ReturnHome","System.Void DolocAPI::ReturnHome(System.Boolean)","IL_011E","callvirt","DolocTown.SceneManager","LoadSceneAsync","System.Boolean DolocTown.SceneManager::LoadSceneAsync(System.String,System.Action)"
"DolocAPI","GetArchiveInfo","DolocTown.BaseArchiveData DolocAPI::GetArchiveInfo(System.Int32)","IL_0006","callvirt","DolocTown.GameData.DataPersistenceManager","GetArchiveInfo","DolocTown.BaseArchiveData DolocTown.GameData.DataPersistenceManager::GetArchiveInfo(System.Int32)"
"DolocAPI","GetAllArchiveInfos","DolocTown.BaseArchiveData[] DolocAPI::GetAllArchiveInfos()","IL_0005","callvirt","DolocTown.GameData.DataPersistenceManager","GetAllArchiveInfo","DolocTown.BaseArchiveData[] DolocTown.GameData.DataPersistenceManager::GetAllArchiveInfo()"
"DolocAPI","Has087DemoData","System.Boolean DolocAPI::Has087DemoData()","IL_000A","callvirt","DolocTown.GameData.DataPersistenceManager","HasDataStartWith","System.Boolean DolocTown.GameData.DataPersistenceManager::HasDataStartWith(System.String)"
"DolocAPI","LoadUserSettings","System.Boolean DolocAPI::LoadUserSettings()","IL_0005","callvirt","DolocTown.GameData.DataPersistenceManager","LoadUserSettings","System.Boolean DolocTown.GameData.DataPersistenceManager::LoadUserSettings()"
"DolocAPI","SaveUserSettings","System.Boolean DolocAPI::SaveUserSettings(DolocTown.UserSettings)","IL_0006","callvirt","DolocTown.GameData.DataPersistenceManager","SaveUserSettings","System.Boolean DolocTown.GameData.DataPersistenceManager::SaveUserSettings(DolocTown.UserSettings)"
"DolocAPI","GetCurrentArchiveDataAsString","System.String DolocAPI::GetCurrentArchiveDataAsString()","IL_0005","callvirt","DolocTown.GameData.DataPersistenceManager","GetCurrentArchiveDataAsString","System.String DolocTown.GameData.DataPersistenceManager::GetCurrentArchiveDataAsString()"
"DolocAPI","SaveUserSettings","System.Boolean DolocAPI::SaveUserSettings()","IL_0005","callvirt","DolocTown.GameData.DataPersistenceManager","get_userSettings","DolocTown.UserSettings DolocTown.GameData.DataPersistenceManager::get_userSettings()"
"DolocAPI","SaveUserSettings","System.Boolean DolocAPI::SaveUserSettings()","IL_000A","call","DolocAPI","SaveUserSettings","System.Boolean DolocAPI::SaveUserSettings(DolocTown.UserSettings)"
