"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1637","call","DolocInputSource/NormalInputActions","get_Debug","UnityEngine.InputSystem.InputAction DolocInputSource/NormalInputActions::get_Debug()"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_163E","ldvirtftn","DolocInputSource/INormalInputActions","OnDebug","System.Void DolocInputSource/INormalInputActions::OnDebug(UnityEngine.InputSystem.InputAction/CallbackContext)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1644","newobj","System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>",".ctor","System.Void System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>::.ctor(System.Object,System.IntPtr)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1649","callvirt","UnityEngine.InputSystem.InputAction","add_canceled","System.Void UnityEngine.InputSystem.InputAction::add_canceled(System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_164F","call","DolocInputSource/NormalInputActions","get_DisposeItemInBackpack","UnityEngine.InputSystem.InputAction DolocInputSource/NormalInputActions::get_DisposeItemInBackpack()"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1656","ldvirtftn","DolocInputSource/INormalInputActions","OnDisposeItemInBackpack","System.Void DolocInputSource/INormalInputActions::OnDisposeItemInBackpack(UnityEngine.InputSystem.InputAction/CallbackContext)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_165C","newobj","System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>",".ctor","System.Void System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>::.ctor(System.Object,System.IntPtr)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1661","callvirt","UnityEngine.InputSystem.InputAction","add_started","System.Void UnityEngine.InputSystem.InputAction::add_started(System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1667","call","DolocInputSource/NormalInputActions","get_DisposeItemInBackpack","UnityEngine.InputSystem.InputAction DolocInputSource/NormalInputActions::get_DisposeItemInBackpack()"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_166E","ldvirtftn","DolocInputSource/INormalInputActions","OnDisposeItemInBackpack","System.Void DolocInputSource/INormalInputActions::OnDisposeItemInBackpack(UnityEngine.InputSystem.InputAction/CallbackContext)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1674","newobj","System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>",".ctor","System.Void System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>::.ctor(System.Object,System.IntPtr)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1679","callvirt","UnityEngine.InputSystem.InputAction","add_performed","System.Void UnityEngine.InputSystem.InputAction::add_performed(System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_167F","call","DolocInputSource/NormalInputActions","get_DisposeItemInBackpack","UnityEngine.InputSystem.InputAction DolocInputSource/NormalInputActions::get_DisposeItemInBackpack()"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1686","ldvirtftn","DolocInputSource/INormalInputActions","OnDisposeItemInBackpack","System.Void DolocInputSource/INormalInputActions::OnDisposeItemInBackpack(UnityEngine.InputSystem.InputAction/CallbackContext)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_168C","newobj","System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>",".ctor","System.Void System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>::.ctor(System.Object,System.IntPtr)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1691","callvirt","UnityEngine.InputSystem.InputAction","add_canceled","System.Void UnityEngine.InputSystem.InputAction::add_canceled(System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1697","call","DolocInputSource/NormalInputActions","get_Interact","UnityEngine.InputSystem.InputAction DolocInputSource/NormalInputActions::get_Interact()"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_169E","ldvirtftn","DolocInputSource/INormalInputActions","OnInteract","System.Void DolocInputSource/INormalInputActions::OnInteract(UnityEngine.InputSystem.InputAction/CallbackContext)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16A4","newobj","System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>",".ctor","System.Void System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>::.ctor(System.Object,System.IntPtr)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16A9","callvirt","UnityEngine.InputSystem.InputAction","add_started","System.Void UnityEngine.InputSystem.InputAction::add_started(System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16AF","call","DolocInputSource/NormalInputActions","get_Interact","UnityEngine.InputSystem.InputAction DolocInputSource/NormalInputActions::get_Interact()"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16B6","ldvirtftn","DolocInputSource/INormalInputActions","OnInteract","System.Void DolocInputSource/INormalInputActions::OnInteract(UnityEngine.InputSystem.InputAction/CallbackContext)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16BC","newobj","System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>",".ctor","System.Void System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>::.ctor(System.Object,System.IntPtr)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16C1","callvirt","UnityEngine.InputSystem.InputAction","add_performed","System.Void UnityEngine.InputSystem.InputAction::add_performed(System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16C7","call","DolocInputSource/NormalInputActions","get_Interact","UnityEngine.InputSystem.InputAction DolocInputSource/NormalInputActions::get_Interact()"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16CE","ldvirtftn","DolocInputSource/INormalInputActions","OnInteract","System.Void DolocInputSource/INormalInputActions::OnInteract(UnityEngine.InputSystem.InputAction/CallbackContext)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16D4","newobj","System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>",".ctor","System.Void System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>::.ctor(System.Object,System.IntPtr)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16D9","callvirt","UnityEngine.InputSystem.InputAction","add_canceled","System.Void UnityEngine.InputSystem.InputAction::add_canceled(System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16DF","call","DolocInputSource/NormalInputActions","get_SpeedUp","UnityEngine.InputSystem.InputAction DolocInputSource/NormalInputActions::get_SpeedUp()"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16E6","ldvirtftn","DolocInputSource/INormalInputActions","OnSpeedUp","System.Void DolocInputSource/INormalInputActions::OnSpeedUp(UnityEngine.InputSystem.InputAction/CallbackContext)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16EC","newobj","System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>",".ctor","System.Void System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>::.ctor(System.Object,System.IntPtr)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16F1","callvirt","UnityEngine.InputSystem.InputAction","add_started","System.Void UnityEngine.InputSystem.InputAction::add_started(System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16F7","call","DolocInputSource/NormalInputActions","get_SpeedUp","UnityEngine.InputSystem.InputAction DolocInputSource/NormalInputActions::get_SpeedUp()"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_16FE","ldvirtftn","DolocInputSource/INormalInputActions","OnSpeedUp","System.Void DolocInputSource/INormalInputActions::OnSpeedUp(UnityEngine.InputSystem.InputAction/CallbackContext)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1704","newobj","System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>",".ctor","System.Void System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>::.ctor(System.Object,System.IntPtr)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1709","callvirt","UnityEngine.InputSystem.InputAction","add_performed","System.Void UnityEngine.InputSystem.InputAction::add_performed(System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_170F","call","DolocInputSource/NormalInputActions","get_SpeedUp","UnityEngine.InputSystem.InputAction DolocInputSource/NormalInputActions::get_SpeedUp()"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1716","ldvirtftn","DolocInputSource/INormalInputActions","OnSpeedUp","System.Void DolocInputSource/INormalInputActions::OnSpeedUp(UnityEngine.InputSystem.InputAction/CallbackContext)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_171C","newobj","System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>",".ctor","System.Void System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>::.ctor(System.Object,System.IntPtr)"
"DolocInputSource/NormalInputActions","SetCallbacks","System.Void DolocInputSource/NormalInputActions::SetCallbacks(DolocInputSource/INormalInputActions)","IL_1721","callvirt","UnityEngine.InputSystem.InputAction","add_canceled","System.Void UnityEngine.InputSystem.InputAction::add_canceled(System.Action`1<UnityEngine.InputSystem.InputAction/CallbackContext>)"
